subject,mirna,expressed,direction
1,hsa-miR-519e-5p,1,-1
1,hsa-miR-6855-5p,1,-1
1,hsa-miR-6736-5p,1,1
1,hsa-miR-758-3p,1,-1
1,hsa-miR-6872-5p,1,1
1,hsa-let-7d,1,-1
1,hsa-miR-3126-5p,1,-1
1,hsa-miR-3929,1,1
1,hsa-miR-3150b-5p,1,1
1,hsa-miR-3614-3p,1,1
1,hsa-miR-499b-5p,1,1
1,hsa-miR-3679-5p,1,1
1,hsa-miR-1287-5p,1,1
1,hsa-miR-1915-5p,1,1
1,hsa-mir-520d,1,-1
1,hsa-miR-6881-5p,1,-1
1,hsa-miR-3653-5p,1,-1
1,hsa-miR-125b-2-3p,1,-1
1,hsa-let-7a-2,1,1
1,hsa-miR-548f-3p|hsa-miR-548g-3p,1,-1
1,hsa-miR-182-3p,1,-1
1,hsa-miR-92b-5p,1,1
1,hsa-miR-6801-3p,1,-1
1,hsa-miR-520g-3p|hsa-miR-520h,1,1
1,hsa-miR-550b-3p,1,-1
1,hsa-miR-6717-5p,1,1
1,hsa-miR-503-3p,1,-1
1,hsa-miR-888-5p,1,-1
1,hsa-miR-2467-5p,1,-1
1,hsa-miR-378c,1,1
1,hsa-miR-1914-5p,1,-1
1,hsa-miR-181c-3p,1,-1
1,hsa-miR-4732-3p,1,-1
1,hsa-miR-548ay-3p,1,-1
1,hsa-miR-521,1,1
1,hsa-miR-4798-5p,1,-1
1,hsa-miR-378i,1,-1
1,hsa-miR-381-3p,1,1
1,hsa-miR-10a-3p,1,-1
1,hsa-miR-26b-3p,1,1
1,hsa-miR-520h,1,-1
1,hsa-miR-518f-3p,1,-1
1,hsa-miR-1537-5p,1,1
1,hsa-miR-4744,1,-1
1,hsa-mir-26a-1,1,-1
1,hsa-miR-6515-3p,1,-1
1,hsa-miR-6886-3p,1,1
1,hsa-miR-499a-3p,1,1
1,hsa-miR-6795-5p,1,-1
1,hsa-miR-3155a,1,1
1,hsa-miR-3064-3p,1,-1
1,hsa-miR-1233-5p,1,-1
1,hsa-miR-7113-5p,1,1
1,hsa-miR-3180-5p,1,-1
1,hsa-miR-2116-3p,1,-1
1,hsa-miR-370-5p,1,-1
1,hsa-miR-517a-3p|hsa-miR-517b-3p,1,1
1,hsa-miR-3138,1,1
1,hsa-miR-16-2-3p,1,1
1,hsa-miR-4431,1,1
1,hsa-miR-520g-3p,1,-1
1,hsa-miR-5192,1,-1
1,hsa-miR-6810-5p,1,1
1,hsa-miR-29c-3p,1,1
1,hsa-mir-296,1,-1
1,hsa-miR-4789-5p,1,-1
1,hsa-miR-548p,1,-1
1,hsa-miR-6869-5p,1,-1
1,hsa-miR-625-3p,1,1
1,hsa-miR-342-5p,1,-1
1,hsa-miR-1304-5p,1,-1
1,hsa-miR-3928-3p,1,1
1,hsa-mir-101-2,1,1
1,hsa-miR-383-5p,1,-1
1,hsa-miR-3691-5p,1,-1
1,hsa-miR-3607-5p,1,-1
1,hsa-miR-6798-3p,1,1
1,hsa-miR-4667-5p,1,1
1,hsa-miR-6730-3p,1,-1
1,hsa-miR-6775-5p,1,-1
1,hsa-miR-4725-5p,1,-1
1,hsa-miR-4768-5p,1,-1
1,hsa-miR-765,1,1
1,hsa-miR-6757-3p,1,1
1,hsa-miR-18a-3p,1,1
1,hsa-miR-3912-5p,1,1
1,hsa-miR-6847-3p,1,1
1,hsa-miR-503-5p,1,1
1,hsa-miR-1973,1,1
1,hsa-miR-6818-3p,1,-1
1,hsa-miR-4719,1,1
1,hsa-miR-6821-5p,1,-1
1,hsa-miR-548av-3p,1,1
1,hsa-miR-6746-5p,1,1
1,hsa-mir-378d-1,1,1
1,hsa-mir-23a,1,1
1,hsa-miR-345-3p,1,1
1,hsa-miR-7974,1,1
1,hsa-miR-490-3p,1,-1
1,hsa-miR-5010-3p,1,1
1,hsa-miR-4731-3p,1,1
1,hsa-mir-548v,1,1
1,hsa-miR-7114-3p,1,-1
1,hsa-miR-4747-3p,1,-1
1,hsa-mir-133b,1,-1
1,hsa-miR-653-5p,1,-1
1,hsa-miR-27a-5p,1,1
1,hsa-miR-7973,1,1
1,hsa-mir-1-2,1,-1
1,hsa-miR-375,1,-1
1,hsa-miR-4644,1,1
1,hsa-miR-6729-3p,1,1
1,hsa-miR-524-5p,1,-1
1,hsa-mir-320c-1,1,-1
1,hsa-mir-502,1,-1
1,hsa-miR-6516-3p,1,1
1,hsa-miR-1294,1,-1
1,hsa-miR-363-3p,1,1
1,hsa-miR-548ai|hsa-miR-570-5p,1,1
1,hsa-miR-10b-3p,1,1
1,hsa-miR-425-5p,1,1
1,hsa-miR-337-3p,1,-1
1,hsa-miR-576-5p,1,1
1,hsa-miR-1914-3p,1,1
1,hsa-miR-449b-5p,1,1
1,hsa-miR-1304-3p,1,-1
1,hsa-miR-6500-3p,1,-1
1,hsa-miR-103b,1,1
1,hsa-miR-29b-1-5p,1,-1
1,hsa-miR-7152-3p,1,-1
1,hsa-miR-217,1,-1
1,hsa-miR-4733-5p,1,1
1,hsa-miR-515-5p,1,-1
1,hsa-miR-4786-3p,1,-1
1,hsa-miR-3677-3p,1,1
1,hsa-miR-548d-3p,1,1
1,hsa-miR-5009-5p,1,-1
1,hsa-miR-4632-5p,1,1
1,hsa-mir-378d-2,1,-1
1,hsa-miR-543,1,1
1,hsa-miR-6895-5p,1,-1
1,hsa-miR-548bb-3p,1,-1
1,hsa-miR-329-5p,1,-1
1,hsa-miR-3158-5p,1,1
1,hsa-miR-146a-3p,1,-1
1,hsa-miR-302e,1,-1
1,hsa-miR-5588-5p,1,1
1,hsa-miR-4317,1,1
1,hsa-miR-5683,1,-1
1,hsa-miR-379-3p,1,1
1,hsa-miR-124-3p,1,-1
1,hsa-miR-141-3p,1,1
1,hsa-miR-6851-5p,1,1
1,hsa-miR-518a-3p,1,1
1,hsa-miR-518b,1,-1
1,hsa-miR-548q,1,1
1,hsa-miR-3120-3p,1,1
1,hsa-miR-6839-5p,1,-1
1,hsa-let-7e-5p,1,-1
1,hsa-miR-372-3p,1,1
1,hsa-miR-6735-5p,1,1
1,hsa-miR-6780b-5p,1,-1
1,hsa-miR-1225-5p,1,1
1,hsa-miR-6821-3p,1,-1
1,hsa-miR-4770,1,1
1,hsa-miR-4656,1,-1
1,hsa-miR-6864-3p,1,-1
1,hsa-mir-500b,1,-1
1,hsa-miR-7846-3p,1,1
1,hsa-miR-95-3p,1,1
1,hsa-miR-520b|hsa-miR-520c-3p,1,-1
1,hsa-miR-664b-3p,1,-1
1,hsa-mir-128-1,1,1
1,hsa-miR-6816-5p,1,-1
1,hsa-miR-6774-3p,1,1
1,hsa-miR-5580-3p,1,1
1,hsa-miR-4735-5p,1,-1
1,hsa-miR-22-3p,1,-1
1,hsa-miR-668-3p,1,-1
1,hsa-miR-4750-3p,1,-1
1,hsa-miR-5008-5p,1,-1
1,hsa-miR-499a-5p,1,1
1,hsa-miR-6820-5p,1,1
1,hsa-miR-2116-5p,1,1
1,hsa-miR-219a-5p,1,-1
1,hsa-miR-21-5p,1,-1
1,hsa-miR-548g-3p,1,1
1,hsa-miR-634,1,1
1,hsa-miR-4501,1,-1
1,hsa-miR-548ap-3p,1,1
1,hsa-miR-6769b-5p,1,1
1,hsa-miR-6805-3p,1,-1
1,hsa-miR-1229-3p,1,-1
1,hsa-miR-92a-2-5p,1,-1
1,hsa-miR-222-5p,1,-1
1,hsa-miR-6874-5p,1,-1
1,hsa-miR-766-3p,1,1
1,hsa-miR-4639-5p,1,1
1,hsa-miR-4421,1,1
1,hsa-miR-6831-5p,1,-1
1,hsa-miR-454-3p,1,-1
1,hsa-miR-590-3p,1,1
1,hsa-miR-511-3p,1,1
1,hsa-miR-214-3p,1,1
1,hsa-miR-5092,1,1
1,hsa-miR-6764-5p,1,-1
1,hsa-miR-4669,1,1
1,hsa-miR-4690-3p,1,1
1,hsa-miR-550a-3-5p|hsa-miR-550a-5p,1,1
1,hsa-mir-374b,1,1
1,hsa-miR-4738-5p,1,1
1,hsa-miR-523-3p,1,-1
1,hsa-miR-6741-3p,1,1
1,hsa-mir-29b-2,1,1
1,hsa-miR-3690,1,-1
1,hsa-miR-24-3p,1,-1
1,hsa-miR-152-5p,1,-1
1,hsa-miR-3591-5p,1,-1
1,hsa-miR-603,1,1
1,hsa-miR-3187-3p,1,-1
1,hsa-miR-19b-1-5p,1,1
