subject,team,mirna,expressed
1,team_allTP,hsa-miR-370-3p,1
1,team_allTP,hsa-miR-550b-3p,1
1,team_allTP,hsa-miR-96-3p,1
1,team_allTP,hsa-miR-6745,1
1,team_allTP,hsa-miR-1538,1
1,team_allTP,hsa-miR-6739-5p,1
1,team_allTP,hsa-miR-302b-3p,1
1,team_allTP,hsa-miR-137,1
1,team_allTP,hsa-mir-133b,1
1,team_allTP,hsa-miR-6829-3p,1
1,team_allTP,hsa-miR-548an,1
1,team_allTP,hsa-miR-1293,1
1,team_allTP,hsa-miR-548av-5p,1
1,team_allTP,hsa-miR-376a-2-5p,1
1,team_allTP,hsa-miR-5580-5p,1
1,team_allTP,hsa-miR-550a-5p,1
1,team_allTP,hsa-miR-3934-5p,1
1,team_allTP,hsa-miR-4714-5p,1
1,team_allTP,hsa-miR-425-5p,1
1,team_allTP,hsa-miR-548as-3p,1
1,team_allTP,hsa-miR-3928-3p,1
1,team_allTP,hsa-miR-33b-3p,1
1,team_allTP,hsa-miR-296-3p,1
1,team_allTP,hsa-miR-302b-5p,1
1,team_allTP,hsa-miR-3136-5p,1
1,team_allTP,hsa-miR-125b-2-3p,1
1,team_allTP,hsa-miR-509-5p,1
1,team_allTP,hsa-miR-6847-5p,1
1,team_allTP,hsa-miR-6877-5p,1
1,team_allTP,hsa-let-7i-5p,1
2,team_allTP,hsa-miR-370-3p,1
2,team_allTP,hsa-miR-550b-3p,1
2,team_allTP,hsa-miR-96-3p,1
2,team_allTP,hsa-miR-6745,1
2,team_allTP,hsa-miR-1538,1
2,team_allTP,hsa-miR-6739-5p,1
2,team_allTP,hsa-miR-302b-3p,1
2,team_allTP,hsa-miR-137,1
2,team_allTP,hsa-mir-133b,1
2,team_allTP,hsa-miR-6829-3p,1
2,team_allTP,hsa-miR-548an,1
2,team_allTP,hsa-miR-1293,1
2,team_allTP,hsa-miR-548av-5p,1
2,team_allTP,hsa-miR-376a-2-5p,1
2,team_allTP,hsa-miR-5580-5p,1
2,team_allTP,hsa-miR-550a-5p,1
2,team_allTP,hsa-miR-3934-5p,1
2,team_allTP,hsa-miR-4714-5p,1
2,team_allTP,hsa-miR-425-5p,1
2,team_allTP,hsa-miR-548as-3p,1
2,team_allTP,hsa-miR-3928-3p,1
2,team_allTP,hsa-miR-33b-3p,1
2,team_allTP,hsa-miR-296-3p,1
2,team_allTP,hsa-miR-302b-5p,1
2,team_allTP,hsa-miR-3136-5p,1
2,team_allTP,hsa-miR-125b-2-3p,1
2,team_allTP,hsa-miR-509-5p,1
2,team_allTP,hsa-miR-6847-5p,1
2,team_allTP,hsa-miR-6877-5p,1
2,team_allTP,hsa-let-7i-5p,1
3,team_allTP,hsa-miR-370-3p,1
3,team_allTP,hsa-miR-550b-3p,1
3,team_allTP,hsa-miR-96-3p,1
3,team_allTP,hsa-miR-6745,1
3,team_allTP,hsa-miR-1538,1
3,team_allTP,hsa-miR-6739-5p,1
3,team_allTP,hsa-miR-302b-3p,1
3,team_allTP,hsa-miR-137,1
3,team_allTP,hsa-mir-133b,1
3,team_allTP,hsa-miR-6829-3p,1
3,team_allTP,hsa-miR-548an,1
3,team_allTP,hsa-miR-1293,1
3,team_allTP,hsa-miR-548av-5p,1
3,team_allTP,hsa-miR-376a-2-5p,1
3,team_allTP,hsa-miR-5580-5p,1
3,team_allTP,hsa-miR-550a-5p,1
3,team_allTP,hsa-miR-3934-5p,1
3,team_allTP,hsa-miR-4714-5p,1
3,team_allTP,hsa-miR-425-5p,1
3,team_allTP,hsa-miR-548as-3p,1
3,team_allTP,hsa-miR-3928-3p,1
3,team_allTP,hsa-miR-33b-3p,1
3,team_allTP,hsa-miR-296-3p,1
3,team_allTP,hsa-miR-302b-5p,1
3,team_allTP,hsa-miR-3136-5p,1
3,team_allTP,hsa-miR-125b-2-3p,1
3,team_allTP,hsa-miR-509-5p,1
3,team_allTP,hsa-miR-6847-5p,1
3,team_allTP,hsa-miR-6877-5p,1
3,team_allTP,hsa-let-7i-5p,1
4,team_allTP,hsa-miR-370-3p,1
4,team_allTP,hsa-miR-550b-3p,1
4,team_allTP,hsa-miR-96-3p,1
4,team_allTP,hsa-miR-6745,1
4,team_allTP,hsa-miR-1538,1
4,team_allTP,hsa-miR-6739-5p,1
4,team_allTP,hsa-miR-302b-3p,1
4,team_allTP,hsa-miR-137,1
4,team_allTP,hsa-mir-133b,1
4,team_allTP,hsa-miR-6829-3p,1
4,team_allTP,hsa-miR-548an,1
4,team_allTP,hsa-miR-1293,1
4,team_allTP,hsa-miR-548av-5p,1
4,team_allTP,hsa-miR-376a-2-5p,1
4,team_allTP,hsa-miR-5580-5p,1
4,team_allTP,hsa-miR-550a-5p,1
4,team_allTP,hsa-miR-3934-5p,1
4,team_allTP,hsa-miR-4714-5p,1
4,team_allTP,hsa-miR-425-5p,1
4,team_allTP,hsa-miR-548as-3p,1
4,team_allTP,hsa-miR-3928-3p,1
4,team_allTP,hsa-miR-33b-3p,1
4,team_allTP,hsa-miR-296-3p,1
4,team_allTP,hsa-miR-302b-5p,1
4,team_allTP,hsa-miR-3136-5p,1
4,team_allTP,hsa-miR-125b-2-3p,1
4,team_allTP,hsa-miR-509-5p,1
4,team_allTP,hsa-miR-6847-5p,1
4,team_allTP,hsa-miR-6877-5p,1
4,team_allTP,hsa-let-7i-5p,1
5,team_allTP,hsa-miR-370-3p,1
5,team_allTP,hsa-miR-550b-3p,1
5,team_allTP,hsa-miR-96-3p,1
5,team_allTP,hsa-miR-6745,1
5,team_allTP,hsa-miR-1538,1
5,team_allTP,hsa-miR-6739-5p,1
5,team_allTP,hsa-miR-302b-3p,1
5,team_allTP,hsa-miR-137,1
5,team_allTP,hsa-mir-133b,1
5,team_allTP,hsa-miR-6829-3p,1
5,team_allTP,hsa-miR-548an,1
5,team_allTP,hsa-miR-1293,1
5,team_allTP,hsa-miR-548av-5p,1
5,team_allTP,hsa-miR-376a-2-5p,1
5,team_allTP,hsa-miR-5580-5p,1
5,team_allTP,hsa-miR-550a-5p,1
5,team_allTP,hsa-miR-3934-5p,1
5,team_allTP,hsa-miR-4714-5p,1
5,team_allTP,hsa-miR-425-5p,1
5,team_allTP,hsa-miR-548as-3p,1
5,team_allTP,hsa-miR-3928-3p,1
5,team_allTP,hsa-miR-33b-3p,1
