subject,team,mirna,expressed
1,team1,hsa-miR-370-3p,1
1,team1,hsa-miR-550b-3p,1
1,team1,hsa-miR-96-3p,1
1,team1,hsa-miR-6745,1
1,team1,hsa-miR-1538,1
1,team1,hsa-miR-6739-5p,1
1,team1,hsa-miR-302b-3p,1
1,team1,hsa-miR-137,1
1,team1,hsa-mir-133b,1
1,team1,hsa-miR-6829-3p,1
1,team1,hsa-miR-548an,1
1,team1,hsa-miR-1293,1
1,team1,hsa-miR-548av-5p,1
1,team1,hsa-miR-376a-2-5p,1
1,team1,hsa-miR-5580-5p,1
1,team1,hsa-miR-550a-5p,1
1,team1,hsa-miR-3934-5p,1
1,team1,hsa-miR-4714-5p,1
1,team1,hsa-miR-425-5p,1
1,team1,hsa-miR-548as-3p,1
1,team1,hsa-miR-3928-3p,1
1,team1,hsa-miR-33b-3p,1
1,team1,hsa-miR-296-3p,1
1,team1,hsa-miR-302b-5p,1
1,team1,hsa-miR-3136-5p,1
1,team1,hsa-miR-125b-2-3p,1
1,team1,hsa-miR-509-5p,1
1,team1,hsa-miR-6847-5p,1
1,team1,hsa-miR-6877-5p,1
1,team1,hsa-let-7i-5p,1
