subject,team,mirna,expressed
1,team1,hsa-miR-4772-5p,1
1,team1,hsa-miR-374a-3p,1
1,team1,hsa-miR-6886-3p,1
1,team1,hsa-miR-548c-3p,1
1,team1,hsa-mir-365b,1
1,team1,hsa-miR-367-3p,1
1,team1,hsa-miR-6779-5p,1
1,team1,hsa-miR-769-5p,1
1,team1,hsa-mir-320b-1,1
1,team1,hsa-miR-513a-5p,1
1,team1,hsa-miR-7855-5p,1
1,team1,hsa-miR-6840-3p,1
1,team1,hsa-miR-1247-5p,1
1,team1,hsa-miR-100-5p,1
1,team1,hsa-miR-4492,1
1,team1,hsa-miR-4647,1
1,team1,hsa-miR-6736-5p,1
1,team1,hsa-miR-524-3p,1
1,team1,hsa-miR-4706,1
1,team1,hsa-miR-509-5p,1
1,team1,hsa-miR-1297,-1
1,team1,hsa-miR-3127-3p,-1
1,team1,hsa-miR-548f-3p|hsa-miR-548g-3p,-1
1,team1,hsa-miR-5189-3p,-1
1,team1,hsa-miR-3175,-1
1,team1,hsa-miR-632,-1
1,team1,hsa-miR-2681-5p,-1
1,team1,hsa-miR-548at-5p,-1
1,team1,hsa-miR-6833-5p,-1
1,team1,hsa-miR-452-5p,-1
1,team1,hsa-miR-1250-5p,-1
1,team1,hsa-miR-6864-5p,-1
1,team1,hsa-miR-5009-5p,-1
1,team1,hsa-miR-5192,-1
1,team1,hsa-miR-3691-5p,-1
1,team1,hsa-miR-758-5p,-1
1,team1,hsa-miR-4670-5p,-1
1,team1,hsa-miR-770-5p,-1
1,team1,hsa-miR-584-3p,-1
1,team1,hsa-miR-1295b-3p,-1
